method,win,unit,mid,count,mean,abs90,abs95,abs99,rel90,rel95,rel99
① bge-m3·제목본문,1,기사,2023-03-06 12:00:00,33,0.6170898079872131,65,27,0,12.31060606060606,5.113636363636364,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-06 12:00:00,32,0.6216220855712891,64,27,0,12.903225806451612,5.443548387096774,0.0
① bge-m3·제목본문,1,매체,2023-03-06 12:00:00,30,0.6337454319000244,52,20,0,11.954022988505747,4.597701149425287,0.0
① bge-m3·제목본문,1,기사,2023-03-07 12:00:00,5,0.5596281886100769,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-07 12:00:00,5,0.5596283078193665,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-07 12:00:00,5,0.5596283078193665,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-08 12:00:00,4,0.6033097505569458,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-08 12:00:00,4,0.603309690952301,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-08 12:00:00,4,0.603309690952301,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-09 12:00:00,4,0.7999637722969055,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-09 12:00:00,4,0.7999637722969055,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-09 12:00:00,4,0.7999637722969055,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-12 12:00:00,7,0.6848732829093933,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-12 12:00:00,6,0.7094373106956482,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-12 12:00:00,4,0.711338222026825,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-13 12:00:00,19,0.6229910254478455,22,7,0,12.865497076023392,4.093567251461988,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-13 12:00:00,18,0.6186107397079468,21,7,0,13.725490196078432,4.57516339869281,0.0
① bge-m3·제목본문,1,매체,2023-03-13 12:00:00,16,0.6391462683677673,10,3,0,8.333333333333332,2.5,0.0
① bge-m3·제목본문,1,기사,2023-03-14 12:00:00,9,0.5749621391296387,3,0,0,8.333333333333332,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-14 12:00:00,9,0.5749621391296387,3,0,0,8.333333333333332,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-14 12:00:00,7,0.6791070699691772,1,0,0,4.761904761904762,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-15 12:00:00,8,0.5984564423561096,1,0,0,3.571428571428571,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-15 12:00:00,8,0.5984563827514648,1,0,0,3.571428571428571,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-15 12:00:00,8,0.5984563827514648,1,0,0,3.571428571428571,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-16 12:00:00,5,0.5642551183700562,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-16 12:00:00,5,0.5642551183700562,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-16 12:00:00,5,0.5642551183700562,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-17 12:00:00,19,0.7158319354057312,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-17 12:00:00,18,0.7199254035949707,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-17 12:00:00,17,0.7284932136535645,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-18 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-18 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-18 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-19 12:00:00,2,0.5040222406387329,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-19 12:00:00,2,0.5040223002433777,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-19 12:00:00,2,0.5040223002433777,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-20 12:00:00,4,0.531804084777832,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-20 12:00:00,4,0.5318040251731873,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-20 12:00:00,3,0.5624218583106995,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-23 12:00:00,16,0.6709175109863281,18,1,0,15.0,0.8333333333333334,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-23 12:00:00,15,0.7047019600868225,17,1,0,16.19047619047619,0.9523809523809524,0.0
① bge-m3·제목본문,1,매체,2023-03-23 12:00:00,14,0.7273432016372681,15,1,0,16.483516483516482,1.098901098901099,0.0
① bge-m3·제목본문,1,기사,2023-03-24 12:00:00,2,0.48698699474334717,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-24 12:00:00,2,0.48698699474334717,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-24 12:00:00,2,0.48698699474334717,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-03-26 12:00:00,2,0.9769864082336426,1,1,0,100.0,100.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-26 12:00:00,2,0.9769864678382874,1,1,0,100.0,100.0,0.0
① bge-m3·제목본문,1,매체,2023-03-26 12:00:00,2,0.9769864678382874,1,1,0,100.0,100.0,0.0
① bge-m3·제목본문,1,기사,2023-03-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-29 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-29 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-29 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-30 12:00:00,7,0.6729726195335388,6,6,0,28.57142857142857,28.57142857142857,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-30 12:00:00,7,0.6729726195335388,6,6,0,28.57142857142857,28.57142857142857,0.0
① bge-m3·제목본문,1,매체,2023-03-30 12:00:00,7,0.6729726195335388,6,6,0,28.57142857142857,28.57142857142857,0.0
① bge-m3·제목본문,1,기사,2023-03-31 12:00:00,14,0.6424323320388794,17,3,0,18.681318681318682,3.296703296703297,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-31 12:00:00,14,0.6424323916435242,17,3,0,18.681318681318682,3.296703296703297,0.0
① bge-m3·제목본문,1,매체,2023-03-31 12:00:00,14,0.6424323916435242,17,3,0,18.681318681318682,3.296703296703297,0.0
① bge-m3·제목본문,1,기사,2023-04-01 12:00:00,3,0.6379712224006653,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-04-01 12:00:00,2,0.577043354511261,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-04-01 12:00:00,2,0.577043354511261,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-04-02 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-04-02 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-04-02 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-04-03 12:00:00,5,0.5155033469200134,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-04-03 12:00:00,5,0.5155034065246582,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-04-03 12:00:00,5,0.5155034065246582,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-04-05 12:00:00,22,0.7255955934524536,29,2,0,12.554112554112553,0.8658008658008658,0.0
① bge-m3·제목본문,1,기자-매체,2023-04-05 12:00:00,22,0.7255955934524536,29,2,0,12.554112554112553,0.8658008658008658,0.0
① bge-m3·제목본문,1,매체,2023-04-05 12:00:00,21,0.7381970882415771,29,2,0,13.80952380952381,0.9523809523809524,0.0
① bge-m3·제목본문,1,기사,2023-04-06 12:00:00,5,0.6354732513427734,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-04-06 12:00:00,5,0.6354733109474182,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-04-06 12:00:00,4,0.6129472255706787,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-04-10 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-04-10 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-04-10 12:00:00,1,,0,0,0,,,
